date,topic_score,id,collection,title
1977-05-15 00:00:00,0.301718,be_1977.06.01_doc_II-34,CPDOC,"Documentos referentes ?visita da sra. Carter ao Brasil em julho de 1977, durante o periodo de atuac? de Azeredo da Silveira como ministro das Relacoes Exteriores. O dossie e constituido por documentos que compoem a agenda de assuntos tratados durante a visita, incluindo politica externa norte-americana, cooperac? mlitar Brasil-EUA, direitos humanos e desarmamento, relacoes economicas, comerciais, culturais, cientificas e tecnologicas, e politica nuclear. H?ainda documentos sobre as relacoes dos EUA com diversos paises da America, Europa Ocidental e Oriental, Oceania, ?rica e Oriente Proximo."
1974-03-15 00:00:00,0.205232,ag_1973.11.20_doc_VII-28,CPDOC,"Documentos felicitando Azeredo da Silveira pela nomeac? para a pasta das Relacoes Exteriores, incluindo agradecimentos do titular ? congratulacoes, os livros da cerimonia de posse do presidente da Republica Ernesto Geisel e da transferencia de cargo de ministro, e o discurso de posse de Azeredo da Silveira."
1977-10-15 00:00:00,0.202,d_1974.04.23_doc_VIII-24,CPDOC,"Documentos do tipo ""Lembretes"" utilizados nos despachos do ministro das Relacoes Exteriores, Azeredo da Silveira, com o presidente Ernesto Geisel, abordando diversos assuntos, entre os quais: questoes economicas internas e externas, conflitos, conversacoes e acordos politicos entre v?ios paises, politica nuclear, questoes administrativas do Ministerio, viagens do presidente Geisel e do titular ?v?ios paises, assim como visitas de outros chanceleres e presidentes, ao Brasil, entre outros."
1974-03-15 00:00:00,0.198911,ag_1973.11.20_doc_IX-87,CPDOC,"Documentos felicitando Azeredo da Silveira pela nomeac? para a pasta das Relacoes Exteriores, incluindo agradecimentos do titular ? congratulacoes, os livros da cerimonia de posse do presidente da Republica Ernesto Geisel e da transferencia de cargo de ministro, e o discurso de posse de Azeredo da Silveira."
1976-03-15 00:00:00,0.190086,be_1974.03.18_doc_II-27,CPDOC,"Correspondencia entre o ministro das Relacoes Exteriores do Brasil, Azeredo da Silveira, e o secret?io de Estado norte Americano, Henry Kissenger, tratando de diversos assuntos da politica internacional, com enfase nas relacoes entre Brasil e Estados Unidos. Inclui documentac? sobre diversos encontros entre Azeredo e Kissenger, felicitacoes e agradecimentos em datas comemorativas, referencia ?possibilidade de criac? de uma Comiss? Especial de Coordenac? Conjunta, incluindo texto da proposta da criac? da Comiss?, informacoes sobre as relacoes comerciais entre os dois paises, com enfase na atuac? do Departamento do Tesouro norte-americano na exportac? de calcados brasileiros aos Estados Unidos e na possibilidade de cooperac? em outros setores. H?tambem documentos relativos ?conferencias, reunioes e assembleias, como a reuni? de consulta dos chanceleres americanos em Quito, reuni? preparatoria ?Conferencia de energia e assembleias gerais da ONU."
1976-02-15 00:00:00,0.181478,be_1974.04.16_doc_V-3,CPDOC,"Documentos utilizados como subsidios nas conversacoes entre o ministro das Relacoes Exteriores do Brasil, Azeredo da Silveira, e o secret?io de Estado norte-americano, Henry Kissenger. S? notas, resumos, relatorios, discursos e correspondencia, tratando de diversos assuntos, no ?bito das relacoes entre os dois paises e da politica internacional, com enfase nas questoes economicas e comerciais, tais como no interc?bio comercial de diversos produtos, taxac? de tarifas para exportac? e importac?, protecionismo e relacoes financeiras. Inclui informacoes sobre a situac? politica interna de diversos paises, principalmente America Latina e sobre reforma da Organizac? dos Estados Americanos (OEA). H?ainda documentac? sobre a relac? dos Estados Unidos com China e URSS, sobre candidatura a cargos da ONU e da OEA, sobre reunioes da Comiss? dos Direitos Humanos, dos chanceleres da Bacia do Prata, do ""Policy Planning"" e do SELA, sobre direito do mar, a quest? da energia nuclear e a situac? politica do Oriente Medio."
1976-09-15 00:00:00,0.180218,ag_1974.03.00-1_doc_II-38,CPDOC,"Documentos referentes ? relacoes sociais de Azeredo da Silveira durante sua gest? como ministro das Relacoes Exteriores. O dossie e constituido, primordialmente, por correspondencia entre o titular e diversas personalidades politicas, contendo felicitacoes, convites para eventos sociais, condolencias, e pedidos encaminhados a Azeredo da Silveira e vice-versa, em sua maioria relacionados a empregos e cargos."
1979-06-15 00:00:00,0.16666,d_1974.04.23_doc_XI-6,CPDOC,"Documentos do tipo ""Lembretes"" utilizados nos despachos do ministro das Relacoes Exteriores, Azeredo da Silveira, com o presidente Ernesto Geisel, abordando diversos assuntos, entre os quais: questoes economicas internas e externas, conflitos, conversacoes e acordos politicos entre v?ios paises, politica nuclear, questoes administrativas do Ministerio, viagens do presidente Geisel e do titular ?v?ios paises, assim como visitas de outros chanceleres e presidentes, ao Brasil, entre outros."
1975-12-27 00:00:00,0.157307,rb_1974.08.19_doc_I-57,CPDOC,"Documentos referentes ?atuac? de Azeredo da Silveira como Ministro das Relacoes Exteriores nas relacoes bilaterais entre o Brasil  e diversos paises da ?rica, entre eles, ?rica do Sul, Argelia, Angola, Costa do Marfim, Mocambique e Nigeria. O dossie e constituido por correspondencia enre o Itamaraty e as embaixadas, postos diplom?icos brasileiros nesses paises, e  autoridades africanas tratando de visitas de autoridades desses paises ao Brasil e vicce-versa; agradecimentos; mensagens de amizade, respeito e cooperac?. Destacam-se os documentos relativos ?proclamac? de independencia de Angola, assim como informacoes sobre a quest? da descolonizac? dos paises de lingua portuguesa (Cabo Verde, Guine Bissau e Mocambique). Inclui ainda documentos sobre a invas? do Saara Ocidental pelo Marrocos e Maurit?ia, carta do presidente do Egito El-Sadat a Geisel enfatizando a necessidade de se manter o di?ogo sobre a paz no Oriente e elogiando a posic? do Brasil na ONU em relac? ao sionismo, alem de informacoes sobre a viagem de Azeredo da Silveira ?Abdijan (Costa do Marfim), em junho de 1975."
1977-05-15 00:00:00,0.153983,be_1977.06.01_doc_II-38,CPDOC,"Documentos referentes ?visita da sra. Carter ao Brasil em julho de 1977, durante o periodo de atuac? de Azeredo da Silveira como ministro das Relacoes Exteriores. O dossie e constituido por documentos que compoem a agenda de assuntos tratados durante a visita, incluindo politica externa norte-americana, cooperac? mlitar Brasil-EUA, direitos humanos e desarmamento, relacoes economicas, comerciais, culturais, cientificas e tecnologicas, e politica nuclear. H?ainda documentos sobre as relacoes dos EUA com diversos paises da America, Europa Ocidental e Oriental, Oceania, ?rica e Oriente Proximo."
