collection,date,id,title,topic_score
ddrs,1958-12-31,2003110103070,"Advanced Research Projects Agency (ARPA) director Roy Johnson provides Secretary of Defense Neil McElroy with a progress report for the quarter ending 12/31/58 entitled: \""Military Satellite Program.\"" Satellites documented include: DISCOVERER; SENTRY; MIDAS. Also included is information on the distribution of funds for these vehicles.",0.301476
ddrs,1959-01-29,2007070101832,"Advanced Research Projects Agency (ARPA) director Roy Johnson provides Secretary of Defense Neil McElroy with a progress report for the quarter ending 12/31/58 entitled: \""Military Satellite Programs.\"" Satellites documented include: DISCOVERER; SENTRY; MIDAS. Also included is information on the distribution of funds for these vehicles.",0.289405
ddrs,1968-04-04,2003050101219,"Memorandum to the holders of National Intelligence Estimate no. 11-1-67 entitled: \""The Soviet Space Program.\"" Attached is a Soviet chronological space log of successful and unsuccessful space flights from 3/1/67 through 4/3/68.",0.289273
ddrs,,1977070100146,"(Aircraft) Dyna-Soar (description of project; mode of flight; different routes toward achieving a piloted orbital flight as early as 1963; heavier subsystems would have to be used pending development of \""high performance subsystems\""; descriptions of boosting systems that could be used instead of the Saturn booster to achieve sub-orbital and orbital flight; possibility of designing a smaller, prototype glider; schedule comparisons, costs, program block changes and various glider configurations). Report, D2-80305, unattributed. (1961?) 54 p., il. CONFIDENTIAL. LIMITED. Declassified Aug. 24, 1977. Johnson Library, Vice-Presidential Security File, Aircraft, Dyna-Soar Project Streamline Summary.",0.284318
ddrs,1968-04-04,2005090102417,"National Intelligence Estimate (NIE) no. 11-1-67 entitled: \""The Soviet Space Program.\"" Issues include: recent Soviet space activity; technical developments in the areas of spacecraft, launch vehicle developments, and command and control; prospects for a m",0.276549
ddrs,1968-04-04,2008090102498,,0.274443
ddrs,1958-02-13,1988030101140,Technical progress and actions required in the long range ballistic missile program.,0.27378
ddrs,,2003070101976,"List of pros and cons pertaining to the question: \""Should the U.S. continue to pursue vigorously a man-in-space capability.\""",0.273475
ddrs,1957-03-23,1980040100066,"[Guided missiles. No rescheduling of major Thor objectives will occur because of the unsuccessful first flight. The first Jupiter missile was fired in March and exploded after 72 seconds.] Memorandum, Charles E. Wilson, Secy of Defense, to the President. Mar. 23, 1957. 2 p. Att: Summary. 3 p. SECRET. Declassified Feb. 9, 1979. Eisenhower Library, Papers as Pres. of the US, 1953-61 (Ann Whitman File), Name Series, Folder: Guided Missiles (3), Box 16.",0.267905
ddrs,1959-12-17,1992010100347,NSC report on U.S. policy on outer space.,0.26766
ddrs,1958-11-15,1992050101341,Robert Piland outlines ATLAS and TITAN missile programs.,0.266739
ddrs,1962-06-19,1983010102600,Briefing paper on Project Mercury for discussion with Mexican president.,0.264498
ddrs,1957-02-26,1980040100065,"[Guided missiles] Transmittal Memorandum, Charles E. Wilson, Secy of Defense, to the President. Feb. 26, 1957. 1 p. Att: [All missile schedules are proceeding as planned despite the unsuccessful Thor launch. The Polaris program will be finalized in March.] Summary. 3 p. SECRET. SANITIZED copy. Released Feb. 9, 1979. Eisenhower Library, Papers as Pres. of the US, 1953-61 (Ann Whitman File), Name Series, Folder: Guided Missiles (4), Box 16.",0.263333
ddrs,1958-04-04,1997090102738,"Monthly progress report of ICBM and IRBM for 2/58 includes general and test information on theATLAS, TITAN, THOR, JUPITER, and POLARIS.",0.259651
ddrs,1957-04-19,1980070100089,"[Greece. USNMR agrees with the US Amb. to Greece on the dangers of a reduction in President. Apr. 19, 1957. 1 p. Att: [Work on development of the first Atlas flight missile; progress in the Thor program; procedures for removing contaminants from liquid oxygen; testing of Jupiter components; parameters for the Polaris system.] Summary. 4 p. SECRET. Declassified Feb. 9, 1979. Eisenhower Library, Papers as Pres. of the US, 1953-61 (Ann Whitman File), Name Series, Folder: Guided Missiles (3), Box 16.",0.253073
ddrs,,1997030100655,Letter from Secretary of Defense Neil H. McElroy to President Eisenhower regarding 12/57 progress on the ballistic missile system.,0.252696
ddrs,,1987050101291,CIA report on Soviet cosmonauts 17 orbital flights.,0.250826
ddrs,,1986090102977,Soviet cosmonaut becomes the first man to leave a spacecraft and float weightless is space.,0.249294
ddrs,,1980070100096,"[Guided missiles. Review of nose cone warhead development to date; Atlas and Titan developments; partially successful Thor test; progress on Polaris.] Summary. [Aug. 1957.] 5 p. SECRET. SANITIZED copy. Released Feb. 8, 1979. Eisenhower Library, Papers as Pres. of the US, 1953-61 (Ann Whitman File), Name Series, Folder: Guided Missiles (2), Box 16.",0.248507
ddrs,,1980070100099,"[Guided missiles. Testing of Atlas missiles; studies of second stage fragmentation of Titan for use as warhead decoys; testing of Thor.] Summary. [Apr. 1958.] 3 p. SECRET. Declassified Feb. 22, 1979. Eisenhower Library, Papers as Pres. of the US, 1953-61 (Ann Whitman File), Administration File, Folder: McElroy, Neil, 1957-58 (3), Box 28.",0.244422
ddrs,,1983010100378,Report on Soviet space flight inwhich Cosmonaut Leonov becomes the first man to leave a spacecraft and float in space.,0.244231
ddrs,1958-11-24,1992010100181,Robert Piland and J.R. Killian discuss the Atlas and Titan missiles.,0.243905
ddrs,1967-10-06,2006050101278,"Intelligence report entitled: \""The Soviet Space Program Ten Years After Sputnik I.\"" Issues include: background information on early Sputniks; the Soviet interplanetary program; lunar probes; manned space flights; scientific satellites; applications satellites; the Proton booster.",0.243372
