collection,date,id,title,topic_score
frus,1976-08-04 13:05:00,frus1969-76ve06d214,"214. Telegram 192690 From the Department of
                                State to the Embassy in Nigeria,
                            August 4, 1976, 1305Z

",0.201467
frus,1948-04-02 00:00:00,frus1948v09d13,"
Memorandum of Conversation, by the Ambassador in
                                    Brazil (Pawley
)",0.189056
frus,1951-06-11 00:00:00,frus1951v02d707,"
The Ambassador in Brazil (
Johnson
) to the Brazilian Minister for Foreign Affairs
                                    (
Neves da
                                    Fontoura
)
",0.186898
frus,1967-07-20 18:57:00,frus1964-68v24d391,"391. Telegram From the Department of State
                            to the Embassy in Nigeria

",0.182544
frus,1950-05-01 00:00:00,frus1950v02d373,"
Memorandum by the Secretary of
                                        State to the President


",0.182295
frus,1947-03-03 00:00:00,frus1947v01d409,"
Memorandum by Mr. Edmund A.
                                Gullion to the Under Secretary of State (
Acheson
)
",0.176628
frus,1946-03-27 00:00:00,frus1946v11d89,"Memorandum of Conversation, by the Acting Chief of
                                the Division of Brazilian Affairs (Braddock)",0.176191
frus,1948-10-28 19:00:00,frus1948v09d253,"
The Ambassador in Brazil (
Johnson
) to
                                the Secretary of State

",0.173952
frus,1967-05-05 16:01:00,frus1964-68v24d384,"384. Telegram From the Department of State
                            to the Embassy in Nigeria

",0.173886
frus,1949-02-18 18:00:00,frus1949v02d479,"
The Ambassador in Uruguay (
Briggs
) to the Secretary of
                                        State

",0.171274
frus,1946-06-15 00:00:00,frus1946v11d108,"The Ambassador in Brazil (Pawley) to
                                the Chief of the Division of Brazilian Affairs (Braddock)",0.168826
frus,,frus1969-76ve05p1d213,"213. Memorandum of Conversation, Washington, March 6-7, 1972

",0.16682
frus,1950-10-05 00:00:00,frus1950v02d403,"
Memorandum by the Assistant Secretary of State for
                                    Inter-American Affairs (
Miller
) to the Acting Secretary of State
                                    (
Webb
)",0.164439
frus,1949-11-04 00:00:00,frus1949v01d88,"
Memorandum of Conversation, by Mr. Joseph S. Sparks, Adviser, United States Delegation to
                            the General Assembly

",0.163573
frus,1951-08-09 00:00:00,frus1951v02d710,"
The Secretary of
                                        State to the Embassy in
                                        Brazil

",0.163243
frus,1966-09-20 17:30:00,frus1964-68v30d189,"189. Memorandum of Conversation
",0.162165
frus,1979-12-10 16:00:00,frus1977-80v26d461,"461. Telegram From the Embassy in Brazil to the Department of
                                State",0.160594
frus,1946-07-23 00:00:00,frus1946v11d113,"The Ambassador in Brazil (Pawley) to
                                the Assistant Secretary of State for Economic Affairs
                                (Clayton)",0.160001
frus,1960-02-28 17:30:00,frus1958-60v05d214,"214. Memorandum of a Conversation, San Carlos de Bariloche, February
                            28, 1960, 5:30 p.m.",0.158522
frus,1979-03-19 22:17:00,frus1977-80v16d111,"111. Telegram From Secretary of State Vance to the Department of State
",0.157387
frus,1946-08-23 00:00:00,frus1946v11d116,"The Under Secretary of State for Economic
                                Affairs (Clayton) to the Ambassador in
                                Brazil (Pawley)",0.156659
frus,1959-03-30 00:00:00,frus1958-60v05d173,"173. Memorandum of a Conversation, Department of State, Washington,
                            March 30, 1959",0.156646
frus,1955-06-08 00:00:00,frus1955-57v07d185,"185. Memorandum of a Conversation Between the Adviser, Argentine
                            Ministry of Economic Affairs (Juan
                                Scarpati), and the Deputy Director of the Office of South
                            American Affairs (Dearborn), Department of State, Washington, June 8,
                                1955",0.156454
frus,1939-02-18 00:00:00,frus1939v05d267,"
Memorandum by Messrs. William A. Fowler and James C.
                                Sappington III of the Division of Trade Agreements
",0.1558
frus,1956-02-02 00:00:00,frus1955-57v07d207,"207. Memorandum of a Conversation, Rio de Janeiro, February 2,
                                1956",0.155484
frus,1969-04-02 00:00:00,frus1969-76ve05p1d53,"53. Research Memorandum From the Director of the Bureau of
                            Intelligence and Research (Hughes) to Secretary of State Rogers, Washington, April 2,
                                1969

",0.154938
frus,1933-02-15 12:00:00,frus1933v04d507,"The Ambassador in Peru (Dearing) to
                                the Secretary of State",0.154667
frus,1974-04-23 23:16:00,frus1969-76ve11p2d100,"100. Telegram 82931 From the Department of State to the Embassy in
                                Brazil
",0.154572
frus,,frus1969-76ve10d147,"147. Telegram 0769 From the Embassy in Brazil to the Department of
                            State, March 7, 1972,
                                1345Z.

",0.154256
frus,1964-02-26 00:00:00,frus1964-68v24d242,"242. Memorandum of Meeting
",0.152487
frus,1957-01-24 00:00:00,frus1955-57v07d358,"358. Letter From the Deputy Under Secretary of State (Murphy) to the Assistant
                            Secretary of Defense for International Security Affairs (Gray)",0.152318
frus,1949-02-11 00:00:00,frus1949v02d346,"
The Secretary of State
                                    to the Ambassador in Brazil (
Johnson
)",0.152031
frus,1946-08-01 00:00:00,frus1946v03d25,"Memorandum of Conversation, by the Director of
                                    the Office of European Affairs (Matthews)",0.151568
frus,1947-07-22 00:00:00,frus1947v01d423,"
Memorandum of Conversation, by Mr. Edmund A. Gullion, Special Assistant to the Under
                            Secretary of State (
Lovett
)",0.151505
frus,1973-03-23 00:00:00,frus1969-76ve06d200,"200. Paper Prepared in the Bureau of Intelligence and Research,
                            Washington, March 23, 1973

",0.151503
frus,1945-04-19 19:00:00,frus1945v09d549,"
The Secretary of State to
                                the Ambassador in Brazil (
Berle
)",0.150001
frus,1941-07-25 00:00:00,frus1941v06d510,"The Ambassador in Brazil (Caffery) to
                                the Secretary of State",0.149486
frus,1937-09-30 00:00:00,frus1937v05d312,"The Ambassador in Brazil (Caffery) to
                                the Secretary of State",0.149485
frus,1978-04-04 20:20:00,frus1977-80v26d433,"433. Telegram From the Embassy in Brazil to the Department of
                                State",0.149477
frus,1974-04-02 14:32:00,frus1969-76ve11p2d98,"98. Telegram 1640 From the Embassy in Chile to the Department of State
                            and the Embassy in Brazil
",0.149432
frus,,frus1938v05d409,"The Department of State
                                to the Brazilian Embassy",0.14902
frus,1967-08-29 21:30:00,frus1964-68v31d231,"231. Memorandum of Conversation
",0.148375
frus,,frus1969-76ve10d134,"134. Memorandum of Meeting, Washington, December 14, 1970.

",0.147437
frus,1935-04-20 13:00:00,frus1935v04d40,"The Secretary of
                                        State to the Charge in Brazil (Gordon)",0.14724
frus,1960-04-14 00:00:00,frus1958-60v14d28,"28. Memorandum of Discussion at the 441st Meeting of the National Security
                            Council",0.147211
frus,1942-03-20 12:00:00,frus1942v05d370,"The Acting Secretary of
                                    State to the Ambassador in Argentina (Armour)",0.146465
frus,1941-06-26 00:00:00,frus1941v06d26,"Memorandum by the Acting Chief of the Division of
                                the American Republics (Bonsal) to the Under
                                Secretary of State (Welles)",0.145986
frus,1957-07-18 20:00:00,frus1955-57v07d364,364. Telegram From the Ambassador in Brazil (Briggs) to the Department of State,0.145975
frus,1940-06-07 00:00:00,frus1940v01d851,"
The Ambassador in Argentina (
Armour
) to the Secretary of
                                State

",0.145947
frus,1947-03-26 00:00:00,frus1947v08d200,"
Memorandum by Mr. John L. Ohmans of the Division of
                                River Plate Affairs

",0.143793
frus,1951-09-25 23:00:00,frus1952-54v10d88,No. 88The Charge in Iran (Richards) to the Department of State,0.143359
frus,1962-07-19 16:03:00,frus1961-63v12d190,190. Memorandum of Conversation,0.142863
frus,1942-01-18 18:00:00,frus1942v05d590,"The Under Secretary of State (Welles), Temporarily at Rio de Janeiro, to the Secretary of State",0.142861
frus,1942-03-27 00:00:00,frus1942v05d416,"The Ambassador in Argentina (Armour) to the Secretary of
                                State",0.142828
