collection,date,id,title,topic_score
kissinger,1973-10-06 13:20:00,0000C21F,TELECON WITH SEC GEN WALDHEIM/SEC KISSINGER AT 1:20 P.M.,0.0903615
kissinger,1973-10-06 10:22:00,0000C217,TELECON WITH WALDHEIM/SEC KISSINGER AT 10:22 A.M.,0.0815831
kissinger,1975-12-08 16:40:00,0000D6E3,TELECON WITH MR. BUCHAN AT 4:40 P.M.,0.0793645
kissinger,1973-10-06 17:10:00,0000C226,TELECON WITH AMBASSADOR SCALI - SECRETARY KISSINGER AT 5:10 ,0.0701759
kissinger,1976-06-14 14:45:00,0000C02E,TELECON WITH MR. SONNENFELDT/SEC KISSINGER AT 2:45 P.M.,0.068751
kissinger,1975-04-29 01:00:00,0000BF6E,"Telecon with Kissinger and Larry Eagleburger, Philip Habib A",0.0654753
kissinger,1974-08-15 16:28:00,0000D62F,TELECON WITH SECRETARY GENERAL WALDHEIM AT 4:28 P.M.,0.0529764
kissinger,1973-12-27 18:33:00,0000C5EA,Telecon with Len Garment and Kissinger at 6:33 P.M.,0.0526308
kissinger,1974-07-17 14:50:00,0000C9EF,TELECON WITH FOREIGN SECRETARY CALLAGHAN/SECRETARY KISSINGER,0.0520245
kissinger,1974-08-22 14:40:00,0000D642,TELECON WITH MR. SONNENFELDT AT 2:40 P.M.,0.0518522
kissinger,1973-10-07 12:55:00,0000C241,TELECON WITH SECRETARY GENERAL WALDHEIM/KISSINGER AT 12:55 P,0.0514707
kissinger,1973-10-18 15:35:00,0000C94E,TELECON WITH HAIG AT 3:35 P.M.,0.0504201
kissinger,1976-06-16 10:35:00,0000C0CC,TELECON WITH MR. WILLIAM ROGERS/SECRETARY KISSINGER AT 10:35,0.0499999
kissinger,1975-11-21 18:05:00,0000BCF6,Telecon with Barry Schweid and Kissinger AT 6:05 P.M.,0.0495869
kissinger,1974-07-26 16:18:00,0000CA39,TELECON WITH SECRETARY KISSINGER/AMB BUFFUM AT 4:18 P.M.,0.0491745
kissinger,1973-10-06 15:45:00,0000C221,TELECON WITH AMBASSADOR SCALI - SECRETARY KISSINGER AT 3:45 ,0.0487805
kissinger,1974-04-18 00:00:00,0000C57D,Telecon with HAK and Maw,0.048387
kissinger,1976-01-09 17:17:00,0000BD4D,Telecon with Dobrynin and Kissinger AT 5:17 P.M.,0.048
kissinger,1974-04-26 12:25:00,0000C561,Telecon with Kubisch and Kissinger at 12:25 P.M.,0.0472437
kissinger,1974-10-01 16:30:00,0000D67F,TELECON WITH EAGLEBURGER AT 4:30 P.M.,0.0465115
kissinger,1976-03-08 16:30:00,0000D771,TELECON WITH VICE PRESIDENT ROCKEFELLER AT 4:30 P.M.,0.0461539
kissinger,1976-11-11 15:39:00,0000C112,TELECON WITH MIN. BAR-ON OF ISRAEL/SEC. KISSINGER AT 3:39 P.,0.0461532
kissinger,1973-10-10 08:13:00,0000C17E,Telecon with Dobrynin and HAK at 8:13 A.M.,0.045198
kissinger,1975-11-06 15:25:00,0000D8C8,TELECON WITH MR. KOPPEL AT 3:25 P.M.,0.0437503
kissinger,1975-12-24 15:40:00,0000D741,TELECON WITH AMBASSADOR DINITZ AT 3:40 P.M.,0.0432695
kissinger,1973-10-07 15:25:00,0000C246,TELECON WITH AMBASSADOR DOBRYNIN - SECRETARY KISSINGER AT 3:,0.0430112
kissinger,1973-10-10 12:15:00,0000C286,TELECON WITH AMB SCALI - SECRETARY KISSINGER AT 12:15 P.M.,0.0413795
kissinger,1975-11-07 15:55:00,0000D8CD,TELECON WITH MR. HENRY BRANDON AT 3:55 P.M.,0.0411766
kissinger,1975-02-01 15:35:00,0000BB60,TELECON WITH HELMUT SONNENFELDT AT 3:35 P.M.,0.0409838
kissinger,1973-10-26 16:05:00,0000C89A,TELECON WITH THE PRESIDENT/SEC KISSINGER AT 4:05 P.M.,0.0406503
kissinger,1974-06-07 14:32:00,0000C9A5,TELECON WITH GOV. ROCKEFELLER/SECRETARY KISSINGER AT 2:32 P.,0.0400072
kissinger,1975-04-01 12:50:00,0000D9F9,"TELECON WITH McNAMARA, ROBERT AT 12:50 P.M.",0.0392158
kissinger,1975-11-14 17:17:00,0000BD2B,Telecon with Rogers and Kissinger AT 5:17 P.M.,0.0384617
kissinger,1974-07-17 17:04:00,0000D6BF,TELECON WITH FOREIGN SECRETARY CALLAGHAN AT 5:04 P.M.,0.0384614
kissinger,1973-10-07 00:00:00,0000C255,TELECON WITH THE PRESIDENT/SECRETARY KISSINGER AT 10:18,0.037879
kissinger,1974-04-12 16:45:00,0000C50C,Telecon with Mansfield and Kissinger at 4:45 P.M.,0.0375944
kissinger,1973-10-29 00:00:00,0000C8DB,TELECON WITH AMBASSADOR DOBRYNIN/SECRETARY KISSINGER AT 5:55,0.0373135
kissinger,1975-06-19 10:30:00,0000C05D,Telecon with Kissinger and Marvin Kalb AT 10:30 A.M.,0.0367648
kissinger,1974-07-19 00:00:00,0000CA06,TELECON WITH SECRETARY KISSINGER/SENATOR PELL AT 5:05 p.m.,0.0361449
kissinger,1975-07-08 10:58:00,0000D817,TELECON WITH JOE KRAFT AT 10:58 A.M.,0.0360363
kissinger,1973-10-08 17:30:00,0000C274,TELECON WITH AMB SCALI/SEC KISSINGER AT 5:30 P.M.,0.0359712
kissinger,1973-10-12 20:25:00,0000C734,TELECON WITH DINITZ/KISSINGER AT 8:25 P.M.,0.035461
kissinger,1975-09-15 13:50:00,0000DA2C,TELECON WITH AMBASSADOR MOYNIHAN AT 1:50 P.M.,0.0344829
kissinger,1975-07-21 09:31:00,0000BC52,TELECON WITH JOE SISCO/SECRETARY KISSINGER AT 9:31 A.M.,0.033708
kissinger,1973-10-06 09:07:00,0000C211,TELECON WITH EBAN/SEC KISSINGER AT 9:07 A.M.,0.0336135
kissinger,1974-08-01 00:00:00,0000CA5B,TELECON WITH MR ATHERTON,0.0336135
kissinger,1976-03-25 15:25:00,0000BF36,TELECON WITH AMB. DINITZ/THE SECRETARY AT 3:25 P.M.,0.0336133
kissinger,1974-07-19 11:45:00,0000C9FE,TELECON WITH FONMIN SAUVAGNARGOES/SECRETARY KISSINGER AT 11:,0.0333333
kissinger,1974-02-08 10:45:00,0000C6AD,Telecon with Bob McCloskey and Kissinger at 10:45 A.M.,0.0333329
kissinger,1976-10-02 00:00:00,0000D93F,TELECON WITH KISSINGER/SENATOR HUMPHREY AT 11:05AM,0.0320515
kissinger,1976-04-13 09:15:00,0000BFBA,TELECON WITH TALCOTT SEELYE/SEC. KISSINGER AT 9:15 A.M.,0.0320001
