score,token
0.124803,con
0.0833452,city
0.0648366,regional
0.0627849,iii
0.0617917,civil
0.0577945,third
0.0326293,open
0.0280514,shoot
0.0240577,throughout
0.0230502,pass
0.0206384,daily
0.0205664,association
0.020545,relief
0.0196464,preparation
0.0172232,dependent
0.0161519,constitutional
0.0143985,neighbor
0.0143488,victory
0.0133489,criticism
0.0131351,positive
0.0130335,favorable
0.0125097,occupy
0.0110451,numerous
0.0109681,scene
0.01066,mix
0.0102694,county
0.00965828,profit
0.00955914,accompany
0.0083778,suspend
0.00698195,statistic
0.00631444,milwaukee
0.00618044,avenue
0.00532822,exclusive
0.00482136,prosecution
0.00425319,tile
0.00381772,federally
0.00380895,lady
0.0037674,cache
0.00316644,dayton
0.00306145,sanitation
0.00302999,reimbursement
0.00301299,resettle
0.00288526,enact
0.00278421,entrance
0.00274787,sport
0.00259357,camouflage
0.00215728,fragmentary
0.00205654,confuse
0.00198102,existent
0.00176398,subdivision
0.00173165,minneapolis
0.00168387,mulligan
0.00166703,nationalistic
0.0016225,span
0.00160338,incite
0.00145225,trim
0.00137558,lino
0.00127606,affiliation
0.00119209,lir
0.000986103,albany
0.000972714,trunk
0.000955711,unduly
0.000904496,extensively
0.000865248,bulwark
0.00085751,cleavage
0.000833361,auditor
0.000812147,tram
0.000793977,teeth
0.000706176,venereal
0.000676079,precinct
0.000622901,citizenry
0.000557113,merge
0.00054996,laundry
0.00050306,amos
0.000453191,delinquency
0.000444027,lubber
0.000441286,dagger
0.000411872,attenuation
0.000398945,poisonous
0.000392897,gunshot
0.000374129,server
0.000364803,dropout
0.000353848,cither
0.000347545,borough
0.000319681,renaissance
0.000274845,amazon
0.000267089,clone
0.000264453,jive
0.000252329,haphazard
0.000241777,circuitry
0.000215321,aqueduct
0.000199626,daze
0.000191065,oversimplification
0.00018721,dilapidate
0.000177584,gentry
0.000176254,manslaughter
0.000174005,defoliant
0.000161647,mortuary
0.000160421,impeach
0.000153572,demodulation
