score,token
0.131205,iran
0.1127,why
0.0473436,shah
0.0465422,iranian
0.0428069,ahead
0.0325989,panel
0.0280036,stay
0.0151069,positively
0.0134606,coordinator
0.0126845,tehran
0.012359,hegemony
0.012249,transmit
0.0119228,murphy
0.0118831,someone
0.0105442,paul
0.0101483,motivation
0.00978557,weakness
0.00911471,wrong
0.00901744,kurd
0.00886414,neglect
0.00849049,regret
0.0081368,honor
0.00812152,reassurance
0.00786292,tribal
0.00773862,ali
0.0075186,toast
0.00714411,khan
0.00697727,contradict
0.00674019,potentially
0.0064226,academy
0.00628125,precisely
0.00592902,attract
0.00592081,permission
0.00583739,islam
0.00570937,envoy
0.0051218,caution
0.00504556,maverick
0.00482397,meddle
0.00461315,tower
0.00443895,reassessment
0.0042841,preempt
0.00410422,theoretically
0.00406277,dilemma
0.00397797,pursuit
0.00392524,edwin
0.00386307,documentation
0.00362694,deflect
0.00362192,truly
0.00318602,pretty
0.00309965,industrialization
0.00279981,technocrat
0.00276413,khomeini
0.00265635,ransom
0.00247197,bottleneck
0.00245565,reliant
0.00237307,shakespeare
0.00231018,separatist
0.00227118,ominous
0.00225378,stinger
0.0022396,compilation
0.00210988,sofa
0.00210446,cynical
0.00204985,revers
0.0019474,fellow
0.00192254,draper
0.00183481,indispensable
0.00173584,imminent
0.00165438,censure
0.00156531,manual
0.00154606,incredible
0.00152924,complimentary
0.0015115,gratification
0.00146829,predicament
0.00142297,dress
0.001422,incipient
0.0013481,allusion
0.00133649,ayatollah
0.00132798,cheer
0.00129379,massachusetts
0.00120213,propagandistic
0.00118372,lightning
0.00115331,alarmist
0.00114247,bottle
0.00113284,seymour
0.00112512,tangle
0.00111418,terence
0.0010898,respectfully
0.00105239,sham
0.000999832,meticulously
0.000994865,perceptive
0.000986404,semantic
0.000878668,supper
0.000856864,uninterested
0.000850632,pahlavi
0.000848687,bastard
0.000830602,err
0.000803906,deflate
0.000798095,ire
0.000775189,chequer
0.000774049,kurdistan
