score,token
0.0870225,china
0.0525546,background
0.0490888,ban
0.0423401,arthur
0.0355325,nonsense
0.0345407,response
0.034131,glad
0.0340549,category
0.0297,anti
0.0245839,iranian
0.0227109,monitor
0.021883,pa
0.0216862,ten
0.0206844,declare
0.0190405,swallow
0.0181572,hostile
0.0175826,allege
0.0173372,strait
0.0169058,supposedly
0.0166954,watch
0.0166019,october
0.0151324,mumble
0.0144877,rat
0.0139671,hemisphere
0.0137737,hesitate
0.0131961,deep
0.0130438,brazilian
0.0128216,tackle
0.0122113,lake
0.0117576,insert
0.0108063,dent
0.010343,flack
0.0103066,contribute
0.00997449,orbit
0.0086805,measure
0.00854455,tribute
0.00831603,abide
0.00783323,bitter
0.00774282,hunch
0.00762254,ji
0.00760903,charles
0.00669597,argentine
0.00660406,careful
0.00504381,inch
0.00493694,caution
0.00402536,rio
0.00364293,abm
0.00351142,cation
0.00332717,hank
0.00321248,geld
0.0029469,verge
0.00275158,sincerely
0.00142365,combine
0.00130082,prohibition
0.000696493,mozambique
0.000538477,gesture
0.000383227,consulate
4.85738e-05,hurry
3.85885e-05,shut
3.40017e-05,ball
3.13164e-05,besides
2.94082e-05,bastard
2.90467e-05,mostly
2.41159e-05,slight
2.35472e-05,il
2.30223e-05,due
2.28048e-05,hot
2.26392e-05,tine
2.25083e-05,originally
2.25002e-05,usual
2.23967e-05,die
2.23298e-05,neither
2.23033e-05,sharp
2.22479e-05,indication
2.22386e-05,goddamn
2.21924e-05,closely
2.21867e-05,mediation
2.21765e-05,normal
2.21549e-05,folder
2.2144e-05,absurd
2.21388e-05,deeply
2.213e-05,attribution
2.20603e-05,emphasize
2.20442e-05,ill
2.20272e-05,brilliant
2.20248e-05,participation
2.19963e-05,mobile
2.19956e-05,superficial
2.19305e-05,guard
2.19257e-05,replace
2.1925e-05,posture
2.19215e-05,sl
2.19169e-05,antagonistic
2.19128e-05,absolute
2.19065e-05,dignify
2.18976e-05,gnp
2.18973e-05,correspondence
2.18862e-05,privacy
2.18762e-05,weapon
2.18751e-05,prayer
