date,topic_score,id,collection,title
1979-03-15 00:00:00,0.495233,ag_1974.03.15_doc_II-53,CPDOC,"Discursos proferidos por Azeredo da Silveira e outras personalidades politicas nas mais diversas ocasioes no decorrer da sua gest? no Ministerio das Relacoes Exteriores. Destaque para o discurso do titular, concentrado nos encadernados, por ocasioes de assinatura de diversos acordos e tratados, como por exemplo o Acordo de Transporte Maritimo com a Argelia (13/04/1976)."
1978-09-15 00:00:00,0.470108,onu_1978.05.11_doc_I-7,CPDOC,"Documentos referentes ?participac? de Azeredo da Silveira na XXXIII?Assembleia Geral da Organizac? das Nacoes Unidas, no periodo em que atuou como ministro das Relacoes Exteriores. O dossie e constituido por correspondencia tratando, principalmente, da sess? especial da Assembleia dedicada ?quest? do desarmamento nuclear, incluindo a posic? do Brasil em relac? ao projeto do Iraque. H?tambem jornais e informativos oficiais da ONU em que constam algumas resolucoes desta Assembleia. O dossie inclui ainda discurso de Azeredo da Silveira na abertura da Assembleia e dois encadernados com telegramas recebidos e expedidos pelo titular durante sua permanencia na Assembleia, tratando de assuntos, tais como questoes administrativas, relacoes internacionais, entre outros."
1974-03-01 00:00:00,0.468764,ag_1973.11.20_doc_III-26,CPDOC,"Documentos felicitando Azeredo da Silveira pela nomeac? para a pasta das Relacoes Exteriores, incluindo agradecimentos do titular ? congratulacoes, os livros da cerimonia de posse do presidente da Republica Ernesto Geisel e da transferencia de cargo de ministro, e o discurso de posse de Azeredo da Silveira."
1979-03-15 00:00:00,0.432655,ag_1974.03.15_doc_II-50,CPDOC,"Discursos proferidos por Azeredo da Silveira e outras personalidades politicas nas mais diversas ocasioes no decorrer da sua gest? no Ministerio das Relacoes Exteriores. Destaque para o discurso do titular, concentrado nos encadernados, por ocasioes de assinatura de diversos acordos e tratados, como por exemplo o Acordo de Transporte Maritimo com a Argelia (13/04/1976)."
1975-07-15 00:00:00,0.429409,rm_1975.03.15_doc_10,CPDOC,"Documentos referentes ?politica internacional do petroleo no periodo em que Azeredo da Silveira atuava como ministro das Relacoes Exteriores. O dossie contem convite dos presidentes da Venezuela e do Equador, ao Brasil, para participar de uma reuni? preparatoria da Conferencia de Paris sobre a crise energetica mundial e sobre os resultados da ""Conferencia de los Soberanos y Jefes de Estado de los Paises Miembros de la OPEP"", ocorrida em Argel em 1975; informacoes sobre o aumento do preco do petroleo, em dezembro de 1976; dados sobre as politicas de importac? e exportac? desse produto, em diversos paises, em func? do aumento do preco; documentos sobre  medida venezuelana de congelamento e compensac? dos precos para a venda de petroleo no mercado latino-americano; e sobre o aumento das importacoes de petroleo do Kwait para o Brasil."
1979-04-15 00:00:00,0.425215,rb_1974.04.20_doc_IV-13,CPDOC,"Documentos referentes ? relacoes entre o Brasil e a Franca durante a gest? de Azeredo da Silveira no Ministerio das Relacoes Exteriores, abordando as seguintes questoes: pris? do cidad? frances, Serge Michel Sevin, pelo Departamento de Ordem Politica e Social do Rio de Janeiro; apresentac? de credenciais do embaixador brasileiro na Franca, Antonio Delfim Neto, em fevereiro de 1975; negociacoes para instalac? de estacoes de rastreamento, no territorio brasileiro, para o projeto ARIANE; e contestac?, pelo governo frances, da pris? de barcos pesqueiros japoneses por autoridades brasileiras, por considerar que os barcos estavam em ?uas da Guiana Francesa. Inclui ainda informacoes sobre: a visita de Azeredo da Silveira ?Franca, em outubro de 1975, para a assinatura do acordo maritimo franco-brasileiro; viagem dos ministros franceses, Jean Sauvagnargues e Raymond Barre, em janeiro de 1976, ao Brasil, ocasi? em que foi criada a ""Grande Comiss? de Competencia Geral"", visando a examinar as relacoes franco-brasileiras; e visita do presidente Giscard D''Estaing ao Brasil, em outubro de 1978, na qual foi negociada a participac? francesa no projeto SUAPE do Complexo industrial-portu?io do Recife. Inclui ainda documentos sobre a indenizac? paga ao governo frances em face da desapropriac? do Banco Hipotec?io e Agricola de Minas Gerais; e sobre a participac? francesa no consorcio europeu para participac? nos projetos hidreletricos de Tucurui, Itaparica e Xingo."
1977-10-15 00:00:00,0.422085,d_1974.04.23_doc_VII-26,CPDOC,"Documentos do tipo ""Lembretes"" utilizados nos despachos do ministro das Relacoes Exteriores, Azeredo da Silveira, com o presidente Ernesto Geisel, abordando diversos assuntos, entre os quais: questoes economicas internas e externas, conflitos, conversacoes e acordos politicos entre v?ios paises, politica nuclear, questoes administrativas do Ministerio, viagens do presidente Geisel e do titular ?v?ios paises, assim como visitas de outros chanceleres e presidentes, ao Brasil, entre outros."
1979-03-15 00:00:00,0.420576,ag_1974.03.15_doc_II-4,CPDOC,"Discursos proferidos por Azeredo da Silveira e outras personalidades politicas nas mais diversas ocasioes no decorrer da sua gest? no Ministerio das Relacoes Exteriores. Destaque para o discurso do titular, concentrado nos encadernados, por ocasioes de assinatura de diversos acordos e tratados, como por exemplo o Acordo de Transporte Maritimo com a Argelia (13/04/1976)."
1978-01-15 00:00:00,0.413207,rm_1975.03.15_doc_8,CPDOC,"Documentos referentes ?politica internacional do petroleo no periodo em que Azeredo da Silveira atuava como ministro das Relacoes Exteriores. O dossie contem convite dos presidentes da Venezuela e do Equador, ao Brasil, para participar de uma reuni? preparatoria da Conferencia de Paris sobre a crise energetica mundial e sobre os resultados da ""Conferencia de los Soberanos y Jefes de Estado de los Paises Miembros de la OPEP"", ocorrida em Argel em 1975; informacoes sobre o aumento do preco do petroleo, em dezembro de 1976; dados sobre as politicas de importac? e exportac? desse produto, em diversos paises, em func? do aumento do preco; documentos sobre  medida venezuelana de congelamento e compensac? dos precos para a venda de petroleo no mercado latino-americano; e sobre o aumento das importacoes de petroleo do Kwait para o Brasil."
1975-03-15 00:00:00,0.407056,ai_1974.04.02_doc_I-28,CPDOC,"Documentos referentes ?Organizac? dos Estados Americanos (OEA) no periodo de atuac? de Azeredo da Silveira como ministro das Relacoes Exteriores. Tratam: da Conferencia Interamericana de Chanceleres realizada em Washington, em abril de 1974, dando continuidade ao di?ogo iniciado na Conferencia de Tlatelolco (Mexico), em fevereiro de 1974, e onde se discutiu a estrutura do comercio internacional, o Canal do Panam?e a cooperac? para o desenvolvimento; da IV Assembleia Geral realizada em Atlanta, em abril de 1974, abordando a admiss? da Gr?Bretanha como observadora da OEA e a reforma do sistema interamericano; e da proposta feita ao Conselho Permanente por Costa Rica, Venezuela e Colombia, de convocac? de org? de consulta para analisar a suspens? das sancoes contra Cuba estabelecidas em 1964, contendo a posic? de diversos paises frente ?quest? e da sugest? brasileira de novo projeto (set-dez/1974). Inclui ainda documentos sobre a reforma do Tratado Interamericano de Assistencia Reciproca (TIAR); sobre a V Assembleia Geral em Washington, em maio de 1975, destacando-se a reforma do sistema interamericano, a lei de comercio exterior norte-americana e a eleic? do secret?io-geral; sobre a discuss? relativa ?direitos humanos na VII Assembleia Geral em junho de 1977; e sobre a proposta mexicana de novo estatuto para a Comiss? Interamericana de Direitos Humanos, que n? conta com o apoio do Brasil."
1978-01-15 00:00:00,0.386265,rm_1975.03.15_doc_4,CPDOC,"Documentos referentes ?politica internacional do petroleo no periodo em que Azeredo da Silveira atuava como ministro das Relacoes Exteriores. O dossie contem convite dos presidentes da Venezuela e do Equador, ao Brasil, para participar de uma reuni? preparatoria da Conferencia de Paris sobre a crise energetica mundial e sobre os resultados da ""Conferencia de los Soberanos y Jefes de Estado de los Paises Miembros de la OPEP"", ocorrida em Argel em 1975; informacoes sobre o aumento do preco do petroleo, em dezembro de 1976; dados sobre as politicas de importac? e exportac? desse produto, em diversos paises, em func? do aumento do preco; documentos sobre  medida venezuelana de congelamento e compensac? dos precos para a venda de petroleo no mercado latino-americano; e sobre o aumento das importacoes de petroleo do Kwait para o Brasil."
1979-06-15 00:00:00,0.3834,d_1974.04.23_doc_XXXVII-13,CPDOC,"Documentos do tipo ""Lembretes"" utilizados nos despachos do ministro das Relacoes Exteriores, Azeredo da Silveira, com o presidente Ernesto Geisel, abordando diversos assuntos, entre os quais: questoes economicas internas e externas, conflitos, conversacoes e acordos politicos entre v?ios paises, politica nuclear, questoes administrativas do Ministerio, viagens do presidente Geisel e do titular ?v?ios paises, assim como visitas de outros chanceleres e presidentes, ao Brasil, entre outros."
1978-01-15 00:00:00,0.365274,rm_1975.03.15_doc_7,CPDOC,"Documentos referentes ?politica internacional do petroleo no periodo em que Azeredo da Silveira atuava como ministro das Relacoes Exteriores. O dossie contem convite dos presidentes da Venezuela e do Equador, ao Brasil, para participar de uma reuni? preparatoria da Conferencia de Paris sobre a crise energetica mundial e sobre os resultados da ""Conferencia de los Soberanos y Jefes de Estado de los Paises Miembros de la OPEP"", ocorrida em Argel em 1975; informacoes sobre o aumento do preco do petroleo, em dezembro de 1976; dados sobre as politicas de importac? e exportac? desse produto, em diversos paises, em func? do aumento do preco; documentos sobre  medida venezuelana de congelamento e compensac? dos precos para a venda de petroleo no mercado latino-americano; e sobre o aumento das importacoes de petroleo do Kwait para o Brasil."
