collection,date,id,title,topic_score
ddrs,1957-10-23,1987010100210,Chronology of Macmillan talks 10/23-10/25/57.,0.228724
ddrs,1945-10-22,1988050101306,Table of administrative structure of Japanese ministries.,0.226388
ddrs,1965-08-05,2006070102104,"Notes of a 9:30 a.m. telephone conversation between Federal Reserve Board chairman William Martin, Jr. and Secretary of the Treasury Henry Fowler regarding the effect of the decline of the British pound sterling upon the world economic situation.",0.207804
ddrs,1978-03-15,1998110103414,Memorandum from Secretary of State Cyrus Vance to President Carter in preparation for Carter\'s 3/28-3/29/78 visit to Venezuela. Topics include: the enlistment of President Perez\'s support in efforts to end Cuban military intervention in Africa; continued collaboration on nuclear nonproliferation matters; Venezuelan support for the Law of the Sea Treaty; human rights in Nicaragua; Organization of American States.,0.198208
ddrs,1965-08-06,2006070102106,,0.196446
ddrs,1966-11-11,2006110103268,U.S Ambassador Graham Martin updates Secretary of State Dean Rusk on a sampling of Thai opinions toward President Lyndon B. Johnson\'s 10/27-10/30/66 state visit to Thailand.,0.192171
ddrs,1966-10-13,1993010100389,Secretary Rusk and Secretary McNamara disagree on proper MAP levels for Thailand during Fiscal Year 1967; respective plans detailed.,0.177217
ddrs,1966-10-13,1990010100268,FY 1967 MAP level for Thailand outlined.,0.175881
ddrs,1979-10-18,1999090102947,List of fiscal year 1981 security assistance program\'s worldwide priority rankings.,0.175439
ddrs,,1993050101401,"List of supplementary documents for trilateral talks (U.S., U.K., West Germany).",0.164736
ddrs,1963-03-23,1976070100374,"(Southeast Asia Treaty Organization) SEATO (Thailand is concerned over whether SEATO and the US will provide military protection against Communist hostilities; Thailand will continue to advocate efficiency in SEATO organization). Am Emb Bangkok, Telegram No. 1423. Mar. 23, 1963. 3 p. SECRET. Declassified June 17, 1975. Kennedy Library, NSF, Countries, Thailand, Vol. V, Box 164-169, Jan. 1963-Apr. 1963.",0.162651
ddrs,,1996050101725,Brent Scowcroft recommends President Ford amend program levels on FY 1977 security assistance for South Korea raising FMS assistance from $150 million to 275 million and lowering MAP assistance from $47.3 million to $8.3 million.,0.162437
ddrs,1966-10-15,1993050101758,Walt Rostow discusses military assistance for Thailand.,0.159575
ddrs,1981-03-01,1985100102409,Guide to current maps of Turkey available in the CIA map library.,0.158859
ddrs,1965-07-24,1976010100817,"(MAP budget; security on Thai bases.) Am Emb Bangkok, Telegram No. 149, to Secy of State, and No. 240617Z, to DOD and JCS. Section 2 only. July 24, 1965. 2 p. TOP SECRET. LIM DIS. Declassified Dec. 30, 1975. Johnson Library, NSF, Countries, Thailand, Vol. 3.",0.157897
ddrs,1965-10-14,1983010102918,Status of White House Conference on International Cooperation Year.,0.15759
ddrs,1967-02-22,1994050101560,"Tentative Joint State/Defense message in response to queries and questions made by Thailand, topics include: reassuring the Thai on the timing of putting ground forces in Vietnam and use of their air bases; Thai\'s fears of retaliation by Vietnamese; possible increase in subversion and insurgency.",0.156353
ddrs,1958-12-01,1984010101690,Trend of military assistance in selected countries.,0.154749
ddrs,1967-09-16,2006010100264,Thai Deputy Minister of Defense Air Marshall Dawee Chulladrabya provides the U.S. with an estimate of Thailand\'s military requirements following a U.S. request that Thailand send additional troops to South Vietnam.,0.15334
ddrs,1975-10-27,1989010100426,Office of Management and Budget (OMB) FY 1976 security assistance budget submission.,0.152882
ddrs,1964-02-15,1975070100301,"[Thailand. Appraisal of Thai reaction to MAP (Military Assistance Program) necessarily must take into account Thai estimate of future US position in SE Asia; US international policy is not reassuring to Thais, but the Thanom govt. continues to identify itself with US-sponsored policies and exerts good efforts in cooperation with US; generous MAP would not be a panacea, but undue reductions in MAP could cause changes in Thai foreign policy; recommendations re MAP allocations.] Am Emb Bangkok, Telegram No. 1328. 2 Sections. Feb. 15, 1964. 6 p. SECRET. Declassified May 28, 1975. Johnson Library, Thailand File.",0.152429
ddrs,,1993050101534,Talking points for President Johnson\'s meeting with Thai Minister of National Development Pote Sarasin and Thai Foreign Minister Thanat Khoman.,0.151352
ddrs,1965-03-23,1976010100796,"(Reorientation of MAP program is required in view of fact that Thailand has become a vital part of US military operations in Southeast Asia, particularly in the \""Barrel Roll\"" and \""Rolling Thunder\"" operations. Amb. Martin wishes to place the Thai MAP on the same level as that of Laos and South Vietnam.) Am Emb Bangkok, Telegram No. 1409. 2 Sections. Mar. 23, 1965. 4 p. TOP SECRET. LIM DIS. Declassified Dec. 30, 1975. Johnson Library, NSF, Countries, Thailand, Vol. 3.",0.146942
ddrs,1964-05-26,1976100100419,"(Union of Soviet Socialist Republics. Assessment of Khrushchev\'s visit to Egypt: although he scored positive points with regard to Aswan High Dam project and Soviet aid to Arab countries, Khrushchev\'s \""plug for communism as such seemingly startled\"" the Egyptians; Nasser emerged from visit with enhanced prestige; Egyptians received commitments for further economic assistance; Nasser gave impression that Communism may not be as totally unacceptable as he had previously indicated; Khrushchev heightened Nasser\'s awareness of Latin America as part of the underdeveloped world.) Am Emb Cairo, Telegram No. 2856. 2 Sections. May 26, 1964. 6 p. CONFIDENTIAL. Declassified Aug. 19, 1976. Johnson Library, NSF, Countries, UAR, Vol. 1.",0.146122
ddrs,1965-08-04,2006070102103,"Notes of a 1:20 p.m. telephone conversation between Federal Reserve Board chairman William Martin, Jr. and Secretary of the Treasury Henry Fowler regarding financial problems throughout the world.",0.145925
ddrs,1967-02-27,1994050101561,"Response to report of meeting with NSC on queries made by Thailand, topics include: use of Thai bases for B-52s; concern of Thai people of possible air strikes in retaliation for allowing use of their bases; Thai government concern they may face increased insubversion and insurgency.",0.144655
ddrs,1944-05-16,2008110103109,,0.142818
ddrs,1964-06-08,1976070100328,"(Lebanon. After futile efforts to get other deputies to join him in materiel availability and sales terms; financing; training; support and technical assistance; defense articles and services immediately needed; pricing of equipment.) Am Con Baida, Telegram No. 165, to Secy of State, and unnumbered, to OASD/ISA. 5 Sections. June 8, 1964. 13 p. CONFIDENTIAL. Declassified Mar. 29, 1976. Johnson Library, NSF, Countries, Libya, Vol. 1.",0.142116
ddrs,,1998010100010,"List of CIA reports.Topics include:economic policy of North Vietnam; Laos, Cambodia, Vietnam, and Thailand; Sino-Soviet bloc as a market for Cuba sugar; relations between Sino-Soviet bloc and North Vietnam; petroleum industry in Cuba; Berlin wall; air access to Berlin; satellites; health and sanitation in Cuba; Communism in Cuba; U.S.S.R. oil to Cuba; impact of U.S. shipping regulations on Cuba; foreign Buddhist reactions to South Vietnamese crisis; economic aspects of India\'s defense effort; gross national product of North Vietnam for 1960.",0.140353
ddrs,1957-08-21,1980040100084,"[Asia, Southeast] Training of Southeast Asian Non-Communist Military Leaders 1992/618, p. 4460-4467, incl. Transmittal Memorandum, Joint Secretariat. Aug. 21, 1957. 1 p. Att: Same title [JCS had recommended that the US encourage and support Thai-Lao planning subject to the following conditions: planning is in consonance with SEATO and US objectives; planning is directed against an immediate threat but can be integrated into SEATO planning; CINCPAC is represented during planning discussions; plans do not involve US troops other than for logistic support]. Report, Joint Strategic Plans Committee, to the JCS. Aug. 8, 1957. 3 p.; Encl. (A): Same title [JCS now recommends encouraging joint Thai-Lao planning even though it is recognized that such planning will be difficult because of the political uncertainty of the situation in Laos and Thai reluctance to participate]. Draft Memorandum, to the Secy of Defense. 1 p.; App. to Encl. (A): [US should encourage planning because it might motivate Laos to resist the Pathet Lao, and defense planning could be used in unilateral Thai and Laotian planning.] Draft Message, to CINCPAC. 1 p.; Encl. (B): Facts Bearing on the Problem. 1 p.; Encl. (C): Discussion [lack of progress in Thai-Lao planning is due to the political situation in Laos, lack of trust between Thailand and Laos, and lack of US commitment]. 2 p. TOP SECRET. Declassified May 30, 1978.",0.139456
ddrs,1960-05-01,1984010102186,Chronology of Chiefs of State and Heads of Government meeting in Paris 5/60.,0.139157
ddrs,1975-06-20,1990090102771,Brent Scowcroft and Secretary Kissinger discuss fiscal year military assistance program issues.,0.137256
ddrs,1974-06-07,2006110103277,U.S. Ambassador William Kintner comments on Thai resistance to U.S. efforts to establish a democracy in Thailand.,0.136112
ddrs,1951-03-26,2009050101585,Draft of a National Security Council (NSC) directive on U.S. covert operations within the Soviet Union and other Communist countries.,0.135856
