collection,date,id,title,topic_score
frus,1946-09-13 19:00:00,frus1946v04d326,"The Acting Secretary of State
                            to the United States Delegation at the Paris
                            Peace Conference",0.165851
frus,1945-07-24 00:00:00,frus1945Berlinv02d1301,"No. 1301Memorandum by the Acting
                                        Secretary of State",0.15439
frus,1961-08-31 00:00:00,frus1961-63v21d353,"353. Memorandum From the President's Special Assistant for National
                            Security Affairs (Bundy) to President Kennedy",0.15306
frus,1943-07-31 00:00:00,frus1943d313,"
The British Embassy
                                    to the Department of State

",0.148344
frus,1974-08-13 00:00:00,frus1969-76ve06d263,"263. Memorandum of Conversation, Washington, August 13, 1974

",0.145238
frus,1975-09-17 03:46:00,frus1969-76v28d128,"128. Telegram From the Department of State to the Embassy in
                                Portugal",0.1435
frus,1974-08-12 18:10:00,frus1969-76v28d99,99. Memorandum of Conversation,0.143338
frus,1975-09-25 17:00:00,frus1969-76v28d130,"130. Telegram From the Consulate in Luanda to the Department of
                                State",0.136185
frus,1943-06-29 22:00:00,frus1943v02d474,"
The Ambassador in the United Kingdom (
Winant
) to the Secretary of
                                State

",0.133599
frus,1974-02-22 00:00:00,frus1969-76ve06d260,"260. Memorandum From the Director of Central African Affairs
                                (Cohen) to the
                            Assistant Secretary of State for African Affairs (Easum), Washington, February
                            22, 1974

",0.13034
frus,1946-05-27 00:00:00,frus1946v05d676,"War Department Memorandum of Trans-Atlantic
                                    Teletype Conference",0.129737
frus,,frus1943v02d483,"
The British Embassy to
                                the Department of State

",0.128572
frus,,frus1945Berlinv01d590,"No. 590Briefing Book Paper
",0.12752
frus,1946-04-18 21:00:00,frus1946v02d51,"The Assistant Secretary of State (Dunn) to
                            the Secretary of State",0.12615
frus,1980-01-04 00:00:00,frus1977-80v16d41,"41. Memorandum From the Presidents Assistant for National Security
                            Affairs (Brzezinski) to
                            Secretary of State Vance

",0.124769
frus,1962-05-05 20:30:00,frus1961-63v13d338,338. Memorandum of Conversation,0.123202
frus,1962-03-15 00:00:00,frus1961-63v21d358,358. Department of State Policy Directive,0.120432
frus,,frus1969-76v28d116,116. Paper Submitted to the 40 Committee,0.119045
frus,1978-05-26 14:28:00,frus1977-80v06d112,"112. Telegram From the Embassy in the Soviet Union to the Department
                            of State",0.118419
frus,1954-08-11 19:34:00,frus1952-54v06p2d813,"No. 813The Secretary of
                                    State to the Embassy in
                                    Portugal",0.118274
frus,1975-10-11 09:55:00,frus1969-76ve06d286,"286. Telegram 9078 From the Embassy in
                                Zaire to the Department of State,
                            October 11, 1975, 0955Z

",0.116921
frus,,frus1969-76v28d142,"142. Message From the Soviet Government to the United States
                                Government",0.116054
frus,1975-11-13 23:07:00,frus1969-76v28d136,"136. Telegram From the Department of State to All Diplomatic
                                Posts",0.114816
frus,,frus1969-76v28d93,93. Paper Prepared in the Department of State,0.114433
frus,,frus1969-76v16d222,222. Note From the Soviet Leadership to the Department of State,0.113139
frus,1961-04-23 15:55:00,frus1961-63v21d348,"348. Telegram From the Department of State
                            to the Embassy in Portugal",0.112767
frus,1972-03-23 20:27:00,frus1969-76v23d283,"283. Telegram From the Department of State to the Embassy in
                                Israel",0.110639
frus,1968-11-03 22:45:00,frus1964-68v20d302,"302. Telegram From the Mission to the United Nations to the Department of
                            State
",0.110544
frus,1964-06-30 15:00:00,frus1964-68v12d156,"156. Memorandum of Conversation
",0.108442
frus,1975-06-23 15:50:00,frus1969-76ve06d278,"278. Telegram 5605 From the Embassy in
                                Zaire to the Department of State,
                            June 23, 1975, 1550Z

",0.107857
frus,,frus1955-57v06d176,"176. Memorandum of a Telephone Conversation Between the Assistant
                            Secretary for Inter-American Affairs (Holland) and the Ambassador in Costa Rica
                                (Woodward), January 11, 1955",0.107848
frus,1949-09-23 00:00:00,frus1949v07p2d141,"
The Acting Political Adviser in Japan
                                    (
Sebald
) to the Secretary of
                                        State

",0.107487
frus,1947-10-08 00:00:00,frus1947v03d694,"
Memorandum of Conversation, by the Director
                                        of the Office of European Affairs (Hickerson)",0.107383
frus,1954-05-20 00:00:00,frus1952-54v06p2d811,"No. 811Memorandum by the Assistant Secretary of
                                State for European Affairs (Merchant) to the Deputy Under Secretary
                                of State for Political Affairs (Murphy)",0.106743
frus,1946-01-28 16:00:00,frus1946v02d6,The Ambassador in Italy (Kirk) to the Secretary of State,0.106727
frus,1943-04-01 17:00:00,frus1943v01d267,"
The Charge in the United Kingdom (
Matthews
) to the Secretary of
                        State

",0.106059
frus,1975-10-07 00:00:00,frus1969-76ve06d285,"285. Briefing Memorandum From the Acting Assistant Secretary of State
                            for African Affairs (Mulcahy) to Secretary of State Kissinger, Washington,
                            October 7, 1975

",0.106038
frus,,frus1969-76ve15p2d128,"128. Memorandum From the Government of the United States to the
                            Government of Portugal",0.105796
frus,1943-05-08 15:00:00,frus1943v02d457,"
The Minister in Portugal (
Fish
) to
                                the Secretary of State

",0.105031
frus,1943-05-20 10:00:00,frus1943v01d24,"
The Secretary of State to the
                            Consul General at Algiers (
Wiley
)",0.104478
frus,1976-09-13 15:25:00,frus1969-76v28d191,191. Telegram From Secretary of State Kissinger to the Department of State,0.104103
frus,1946-02-16 00:00:00,frus1946v08d324,"Mr. Max W. Bishop,
                                of the Office of the Political Adviser in Japan, to the Secretary of State",0.103323
frus,,frus1945v05d328,"
The Portuguese Embassy to
                                the Department of State

",0.102441
frus,1961-03-01 20:30:00,frus1961-63v21d347,"347. Telegram From the Department of State
                            to the Mission to the United Nations",0.102121
frus,1958-03-20 20:00:00,frus1958-60v02d349,"349. Telegram From the Delegation to the Conference
                                on the Law of the Sea to the Department of
                                State",0.101753
frus,1945-03-27 00:00:00,frus1945v05d323,"
The American Charge in Portugal (
Crocker
) to the Portuguese Minister for Foreign Affairs
                                (
Salazar
)
",0.101699
frus,1973-02-09 16:45:00,frus1969-76ve06d257,"257. Telegram 1093 From the Embassy in
                                Zaire to the Department of State,
                            February 9, 1973, 1645Z

",0.101188
frus,1976-09-01 09:55:00,frus1969-76v28d190,"190. Telegram From the Embassy in Sweden to the Department of
                                State",0.101177
frus,1945-09-17 19:00:00,frus1945v05d333,"
The Acting Secretary of
                                    State to the Ambassador in the United Kingdom
                                (
Winant
)",0.100005
frus,1946-09-11 20:00:00,frus1946v04d322,"Mr. Jefferson Caffery,
                            Member of the United States Delegation, to the Acting
                                Secretary of State",0.0999928
frus,1976-02-18 04:00:00,frus1969-76v28d179,"179. Telegram From the Department of State to the Embassy in
                                Zaire",0.0995942
