collection,date,id,title,topic_score
kissinger,1974-03-14 00:00:00,0000C49F,Telecon with Wayne Hayes and Kissinger 9:29 A.M.,0.101449
kissinger,1976-05-11 11:50:00,0000D77A,TELECON WITH AMBASSADOR DOBRYNIN AT 11:50 A.M.,0.0916026
kissinger,1975-10-13 22:15:00,0000BC92,Telecon with Sonnenfeldt and the Secretary AT 10:15 P.M.,0.08642
kissinger,1975-04-05 19:05:00,0000BC2E,TELECON WITH HARRIMAN AT 7:05 P.M.,0.0821919
kissinger,1974-12-10 16:33:00,0000D7A6,TELECON WITH VICE PRESIDENT ROCKEFELLER AT 4:33 P.M.,0.068027
kissinger,1976-03-17 12:35:00,0000BE11,Telecon with Kissinger and Ted Koppel AT 12:35 P.M.,0.0666669
kissinger,1975-01-07 21:50:00,0000BB0D,TELECON WITH ROY ATHERTON AT 9:50 P.M.,0.0660796
kissinger,1975-04-10 17:00:00,0000D85D,TELECON WITH AMBASSADOR DOBRYNIN AT 5:00 P.M.,0.0628576
kissinger,1976-03-27 17:30:00,0000BF4F,TELECON WITH DINITZ/SEC KISSINGER AT 5:30 P.M.,0.0612246
kissinger,1974-08-17 00:00:00,0000C1EC,Telecon with Dobrynin and Kissinger,0.0601854
kissinger,1975-01-18 08:05:00,0000BB3C,TELECON WITH WELLS STABLER AT 8:05 A.M.,0.0573769
kissinger,1974-03-07 12:45:00,0000C474,Telecon with Hartman and Kissinger at 12:45 P.M.,0.0571432
kissinger,1974-01-30 09:50:00,0000C677,Telecon with Kissinger and Art Hummel at 9:50 A.M.,0.0569619
kissinger,1974-01-09 09:19:00,0000D9BA,TELECON WITH AMBASSADOR CROMER AT 9:19 A.M.,0.05691
kissinger,1974-02-20 00:00:00,0000C45B,Telecon with Kissinger and Javits,0.0569086
kissinger,1974-01-24 18:45:00,0000C660,Telecon with Kissinger and Dobrynin at 6:45 P.M.,0.0563382
kissinger,1975-05-09 17:22:00,0000BF9E,Telecon with Sonnenfeldt and the Secretary AT 5:22 P.M.,0.0551182
kissinger,1975-12-22 17:20:00,0000DA49,TELECON WITH ROBERT ELLSWORTH AT 5:20 P.M.,0.0545456
kissinger,1975-09-20 14:50:00,0000BF04,TELECON WITH AMB. DINITZ/SEC. KISSINGER AT 2:50 P.M.,0.0538924
kissinger,1976-03-27 17:40:00,0000BF4E,TELECON WITH AMB. DINITZ/SEC KISSINGER AT 5:40 P.M.,0.0522878
kissinger,1973-10-24 16:25:00,0000C856,TELECON WITH SEC SCHLESINGER - SECRETARY KISSINGER AT 4:25 P,0.0521739
kissinger,1974-08-23 10:22:00,0000D645,TELECON WITH DOBRYNIN AT 10:22 A.M.,0.0512544
kissinger,1975-01-29 19:25:00,0000BB53,TELECON WITH ARTHUR HARTMAN AT 7:25 P.M.,0.0502796
kissinger,1976-01-16 19:45:00,0000BD65,Telecon with Funseth and Kissinger AT 7:45 P.M.,0.05
kissinger,1975-10-10 09:07:00,0000D8A8,TELECON WITH MR. SONNENFELDT AT 9:07 A.M.,0.0492959
kissinger,1975-04-23 12:55:00,0000BC1A,TELECON WITH STROM THURMOND AT 12:55 P.M.,0.0491802
kissinger,1974-08-17 14:47:00,0000D697,TELECON WITH THE SECRETARY AT 2:47 P.M.,0.0481945
kissinger,1974-08-19 08:21:00,0000BA62,TELECON WITH CLERIDES AT 8:21 A.M.,0.0481287
kissinger,1975-05-06 18:32:00,0000BF8F,Telecon with Dobrynin and the Secretary AT 6:32 P.M.,0.0479999
kissinger,1974-02-14 15:30:00,0000C418,TELECON WITH SECRETARY KISSINGER - GENERAL HAIG AT 3:30 P.M.,0.0469804
kissinger,1974-03-13 12:50:00,0000C499,Telecon with FM Rabasa and Kissinger at 12:50 P.M.,0.0466324
kissinger,1975-10-09 18:06:00,0000BC79,Telecon with Sonnenfeldt and the Secretary AT 6:06 P.M.,0.0461539
kissinger,1976-12-06 15:45:00,0000C15A,TELECON WITH AMB. DINITZ/SEC KISSINGER AT 3:45 P.M.,0.0457519
kissinger,1976-01-09 12:55:00,0000BD4C,Telecon with Kissinger and Alan Cranston AT 12:55 P.M.,0.0454546
kissinger,1974-02-08 11:10:00,0000C6AE,Telecon with John McCloy and Kissinger at 11:10 A.M.,0.0447763
kissinger,1974-06-08 11:05:00,0000C9B9,TELECON WITH HAL SONNENFELDT/SECRETARY KISSINGER AT 11:05 A.,0.0444447
kissinger,1974-06-08 11:15:00,0000C9BA,TELECON WITH THE PRESIDENT/SECRETARY KISSINGER AT 11:15 A.M.,0.0439564
kissinger,1976-10-15 10:20:00,0000DA35,TELECON WITH SECRETARY SIMON AT 10:20 A.M.,0.0437958
kissinger,1975-09-19 14:15:00,0000BE4A,TELECON WITH TED KOPPEL/SEC. KISSINGER AT 2:15 P.M.,0.0434784
kissinger,1975-06-26 18:54:00,0000C07B,Telecon with Goodell and the Secretary AT 6:54 P.M.,0.0431669
kissinger,1976-01-14 16:45:00,0000BE24,Telecon with Ted Koppel and Kissinger AT 4:45 P.M.,0.0431034
