score,token
0.060983,civilian
0.0606049,human
0.0588848,too
0.0526143,head
0.0442642,rule
0.0372024,income
0.0348482,family
0.0317969,home
0.031622,asset
0.0314751,chapter
0.0307515,speak
0.0289395,travel
0.0287666,freedom
0.0262299,society
0.021451,ho
0.0180332,neutral
0.0178066,usually
0.0173841,doctrine
0.0153762,liberal
0.0137488,reliable
0.0131859,rely
0.0128062,realize
0.0120107,soldier
0.00913075,prison
0.00845698,victim
0.00650272,friendship
0.00611684,discipline
0.00591823,honor
0.00568576,reservation
0.00530847,lesson
0.00522484,clothe
0.00499287,forbid
0.00488907,apartheid
0.00467255,happy
0.00435732,found
0.00366852,reward
0.00350325,predecessor
0.00332947,folk
0.00322021,blind
0.00321984,undersecretary
0.00321026,adversary
0.0032033,applicability
0.00296085,overnight
0.00283414,contradictory
0.00280666,lightly
0.00271846,constituency
0.00268798,morality
0.00258766,res
0.00250599,unreliable
0.00247363,retreat
0.00244514,realm
0.00241295,screw
0.00241183,coercion
0.00238656,historic
0.00237486,mafia
0.00233505,hel
0.00218796,businessman
0.00217446,guilty
0.00209828,cruel
0.00208706,hardship
0.00208464,habit
0.00194614,reconsider
0.00193241,emergence
0.00190327,symbolic
0.00188165,ghetto
0.00178906,slovak
0.0017402,racism
0.00172683,misuse
0.00155045,unjustified
0.00149412,exemplary
0.00145689,honour
0.00144133,enormously
0.00139572,fatal
0.0013585,greet
0.00135291,disappear
0.00134924,adventurism
0.0013145,jonathan
0.00126749,suburban
0.00122289,stipulation
0.00118884,politic
0.00118222,observance
0.00116117,lure
0.00114779,tyranny
0.00113267,rhetorical
0.00111548,destructive
0.00103374,humor
0.00103196,surgeon
0.00103057,rarely
0.00101907,objectivity
0.0010102,addendum
0.000994042,slogan
0.000967818,vain
0.000926156,involuntary
0.000923527,precious
0.000909771,degenerate
0.000885095,interdependent
0.000817836,disgruntle
0.000809931,massively
0.000786884,occidental
0.000758759,candidly
