score,token
0.138922,agency
0.118395,middle
0.0808534,production
0.0568538,eastern
0.0528449,requirement
0.0416981,restraint
0.0379269,never
0.0264761,coordinate
0.0221612,stockpile
0.020828,plant
0.0193728,account
0.0174546,conclusion
0.0168296,along
0.0144419,stock
0.0133582,commander
0.0133371,near
0.0103214,satisfactory
0.0101915,component
0.0100698,constitute
0.00929546,tv
0.00910924,incentive
0.00852513,informal
0.00768405,sugar
0.00748864,generate
0.0073861,user
0.00665961,binary
0.00660123,allege
0.00622851,pace
0.00600333,coverage
0.00576033,output
0.0056772,maximize
0.00531806,prompt
0.0052852,passage
0.00524512,prevention
0.0048914,forego
0.00488141,explicit
0.00448279,california
0.00435211,coal
0.00432105,advise
0.00431738,totally
0.0039854,hardship
0.00393112,mitigate
0.00391565,earthquake
0.00378561,contractor
0.00361401,punish
0.00360154,liability
0.00351501,aggressive
0.00338474,promptly
0.00326887,stringent
0.00321492,usda
0.00306434,underway
0.0029062,nationalism
0.00269481,u.k.
0.00266191,tense
0.0021971,subsection
0.002128,winner
0.00178442,sufficiency
0.00170254,refinement
0.00169376,exceptionally
0.00162093,metal
0.00156313,nationally
0.00146121,griffith
0.00140072,endanger
0.00125389,mobilization
0.00108677,possession
0.00100716,estate
0.000970119,attribute
0.000899488,pb
0.000831326,perennial
0.000815488,slack
0.000668491,selectivity
0.000615578,stipulate
0.000522382,permeate
0.000515903,energize
0.000449988,manganese
0.000443821,extant
0.000429414,crucially
0.000425174,mathematical
0.000348113,essentiality
0.000320453,epa
0.000313867,vie
0.000305101,dynamite
0.000293654,wither
0.000285374,cane
0.000280267,midwest
0.000271742,shoemaker
0.000265559,alumina
0.000256708,diagnose
0.000248316,contestant
0.000244292,eagle
0.000224118,recalculation
0.000218253,sparrow
0.000211613,furnace
0.000205771,ni
0.000202699,nutshell
0.000201763,institutionally
0.000193267,payback
0.000161934,usurpation
0.000160688,processor
0.000159924,lopsided
