score,token
0.0933432,return
0.0752705,greece
0.0640119,convention
0.0430681,clearance
0.0389832,dole
0.0386772,nervous
0.0326781,presidential
0.0317987,neck
0.0276398,seriously
0.0231166,spring
0.0211099,float
0.0198843,direction
0.0198277,stable
0.0174861,defensive
0.0171757,pain
0.0155697,dispose
0.0138509,insistence
0.0132777,terrible
0.0131551,corporation
0.012849,rid
0.0117159,queen
0.0116696,collect
0.010989,conservative
0.0105341,chip
0.00980682,commander
0.00928176,delight
0.00905124,coverage
0.00893975,politburo
0.00860651,honesty
0.00852065,illegal
0.00834192,readiness
0.00828699,sweet
0.00807729,presently
0.0080246,disarmament
0.00797563,liner
0.00773632,sorrow
0.00759198,archbishop
0.00756777,liberal
0.00755749,xx
0.00741028,occasion
0.00735512,hysteria
0.00732731,miami
0.00728495,xxx
0.00693404,inventory
0.00672343,bureaucrat
0.00638333,km
0.00583895,paint
0.00511506,scrub
0.00456766,ski
0.0043073,mm
0.00404508,stature
0.00367818,kg
0.00365557,pride
0.00354223,brandt
0.00347719,intentional
0.0033557,science
0.00302161,interpret
0.00281296,fool
0.00265689,ano
0.00263067,hz
0.00246807,sweden
0.000957027,awful
3.00806e-05,besides
2.71156e-05,slight
2.69999e-05,bastard
2.62524e-05,mostly
2.47956e-05,shut
2.33879e-05,ball
2.31894e-05,hurry
2.23286e-05,il
2.14255e-05,due
2.13404e-05,ill
2.13021e-05,aspen
2.1281e-05,hot
2.08934e-05,replace
2.08546e-05,die
2.07674e-05,goddamn
2.07415e-05,normal
2.07161e-05,mediation
2.07031e-05,slightly
2.06912e-05,folder
2.06597e-05,deeply
2.06515e-05,antagonistic
2.06143e-05,ballot
2.06084e-05,emphasize
2.06045e-05,correspondence
2.0598e-05,originally
2.05656e-05,participation
2.05467e-05,superficial
2.05296e-05,neither
2.05125e-05,sharp
2.04866e-05,posture
2.04858e-05,sl
2.04795e-05,turmoil
2.04782e-05,guard
2.04758e-05,mow
2.04752e-05,usual
2.04632e-05,meaningless
2.04611e-05,gnp
2.04579e-05,sarcasm
